,CCS,PrecIntensity,PrecMz,Precursor,RetTime,reps,Sample
0,102.92,37426.5,151.03355,Z1MZ151TIM3P1,3.8360000000000003,2.0,SW218968-1
1,147.74,34426.0,321.13009999999997,Z1MZ321TIM1P1,1.6309999999999998,2.0,SW218968-1
2,196.335,179590.0,236.08105,Z2MZ236TIM2P1,2.4345,2.0,SW218968-1
3,205.265,211591.0,413.2665,Z1MZ413TIM3P1,3.6864999999999997,2.0,SW218968-1
4,142.48000000000002,357888.5,305.1576,Z1MZ305TIM1P1,1.6309999999999998,2.0,SW218968-1
5,153.095,283622.0,427.8076,Z1MZ427TIM0P1,0.535,2.0,SW218968-1
6,152.98,421327.5,427.8073,Z1MZ427TIM0P2,0.7845,2.0,SW218968-1
7,99.28,14604.0,131.08575000000002,Z1MZ131TIM3P1,3.242,2.0,SW218968-1
8,196.055,117491.5,503.30605,Z1MZ503TIM2P1,2.0275,2.0,SW218968-1
9,237.115,99847.0,724.217,Z1MZ724TIM3P1,3.7615,2.0,SW218968-1
10,114.73,39414.0,241.88434999999998,Z1MZ241TIM6P1,6.4334999999999996,2.0,SW218968-1
11,281.905,162839.5,743.41805,Z1MZ743TIM5P1,5.018,2.0,SW218968-1
12,175.635,393355.0,351.15689999999995,Z1MZ351TIM3P1,3.8920000000000003,2.0,SW218968-1
13,96.845,60973.5,129.07045,Z1MZ129TIM2P1,2.368,2.0,SW218968-1
14,133.515,48407.5,319.0331,Z1MZ319TIM2P1,2.4385000000000003,2.0,SW218968-1
15,108.485,81749.0,151.11295,Z1MZ151TIM4P1,4.569,2.0,SW218968-1
16,137.765,11636.0,231.17415,Z1MZ231TIM5P1,5.398,2.0,SW218968-1
17,101.37,982087.5,150.9518,Z1MZ150TIM0P1,0.7709999999999999,2.0,SW218968-1
18,134.055,628258.5,222.1126,Z1MZ222TIM0P1,0.526,2.0,SW218968-1
19,134.165,712264.0,222.11284999999998,Z1MZ222TIM0P2,0.7625,2.0,SW218968-1
20,104.465,26044.5,167.99425000000002,Z1MZ167TIM4P1,4.0225,2.0,SW218968-1
21,104.34,17270.5,167.99464999999998,Z1MZ167TIM4P2,4.686,2.0,SW218968-1
22,104.37,72055.5,167.9947,Z1MZ167TIM4P3,4.425,2.0,SW218968-1
23,120.37,70958.0,177.12865,Z1MZ177TIM5P1,5.1625,2.0,SW218968-1
24,120.7,36599.5,202.06945000000002,Z1MZ202TIM3P1,3.8609999999999998,2.0,SW218968-1
25,97.39500000000001,425149.5,118.08709999999999,Z1MZ118TIM3P1,3.5165,2.0,SW218968-1
26,122.17,87045.0,187.24435,Z1MZ187TIM3P1,3.3594999999999997,2.0,SW218968-1
27,122.16499999999999,7142736.0,187.1301,Z1MZ187TIM3P2,3.3594999999999997,2.0,SW218968-1
28,139.565,46959.5,198.18540000000002,Z1MZ198TIM3P1,3.111,2.0,SW218968-1
29,157.33999999999997,44438.5,365.15864999999997,Z1MZ365TIM1P1,1.74,2.0,SW218968-1
30,237.99,17845.5,701.39375,Z1MZ701TIM2P1,2.2335000000000003,2.0,SW218968-1
31,227.37,32011.5,609.33965,Z1MZ609TIM5P1,5.179499999999999,2.0,SW218968-1
32,142.69,154038.0,225.1966,Z1MZ225TIM6P1,6.3454999999999995,2.0,SW218968-1
33,142.57,535266.0,225.19745,Z1MZ225TIM6P2,6.2410000000000005,2.0,SW218968-1
34,162.82,89303.0,393.2096,Z1MZ393TIM6P1,6.388999999999999,2.0,SW218968-1
